population,pc,pm,sel,cros,ss,best_fit,final_diversity,final_exploration,final_exploitation,runtime
200,0.75,0.05,tournament,multi_points,False,-0.5894154738830162,0.9282948556480044,42.6787514785464,57.3212485214536,389.43053370015696
200,0.75,0.025,tournament,uniform,False,-0.5895231879535561,0.0619926462012395,2.8879696145278686,97.11203038547214,391.5457662001718
200,0.75,0.025,tournament,uniform,False,-0.5895412639816591,0.4921014090763297,22.71462667586654,77.28537332413346,388.73024389962666
200,0.95,0.05,tournament,one_point,False,-0.5895678461972712,0.8246871788019774,37.85755894390267,62.14244105609733,401.045043600141
200,0.95,0.05,tournament,multi_points,False,-0.5896665709499606,0.6671352553671949,30.82489863848582,69.17510136151418,388.329301099875
200,0.75,0.025,tournament,uniform,False,-0.5896684574768492,0.0349714908301703,1.6025910384844275,98.39740896151557,392.2786643001018
200,0.95,0.05,tournament,one_point,False,-0.5898430946012961,0.8289121454869083,38.499795286051125,61.50020471394888,408.8902698998572
200,0.95,0.025,tournament,multi_points,False,-0.5898481726569296,0.5298366879126309,24.303619945354967,75.69638005464503,397.0067458000267
200,0.95,0.25,tournament,uniform,False,-0.5898700743835762,0.0856266329330962,3.9073947678274017,96.0926052321726,396.13715700036846
200,0.75,0.025,tournament,multi_points,False,-0.5898907206816537,0.447385904899759,20.628470404199795,79.37152959580021,373.70606370002497
200,0.75,0.05,tournament,one_point,False,-0.5898997375824173,1.023728237452488,46.28731752243278,53.71268247756722,387.32960460032336
200,0.95,0.025,tournament,multi_points,False,-0.5899053611903713,0.4373839467767161,19.939562835280512,80.06043716471949,397.727088199812
200,0.75,0.025,tournament,one_point,False,-0.5899529811780999,0.5535071946658827,25.312289329270666,74.68771067072933,381.574505500379
200,0.95,0.05,tournament,multi_points,False,-0.5901187411636059,0.9549500402349403,43.56891085540347,56.43108914459653,393.5935202002293
200,0.95,0.025,tournament,uniform,False,-0.5902243573880057,0.0622527608828842,2.856477102121175,97.14352289787882,413.19487379980274
200,0.95,0.025,tournament,one_point,False,-0.5902414880572838,0.5605127921468438,25.901756959195232,74.09824304080476,394.26011669973377
200,0.75,0.05,tournament,multi_points,False,-0.5904188801324173,0.904631143857751,41.48656144543112,58.51343855456888,384.6583924997831
200,0.75,0.025,tournament,one_point,False,-0.5905156433443013,0.4876272836035585,22.39986765798292,77.60013234201708,380.62738699966576
50,0.75,0.05,tournament,uniform,False,-0.590550737448262,0.9569489453826168,44.013061545478415,55.98693845452159,96.36264320032204
50,0.75,0.05,tournament,uniform,False,-0.590912550052926,1.133143056438504,52.38319055612899,47.61680944387101,99.21899869991466
50,0.95,0.025,tournament,uniform,False,-0.5909334667959747,0.8374341241549762,39.524093489979535,60.47590651002047,98.45013569993898
200,0.95,0.025,tournament,one_point,False,-0.5909890119266988,0.4931084456067522,22.632621083343565,77.36737891665643,396.6539146997966
50,0.95,0.025,tournament,uniform,False,-0.5911329342093296,0.049889774744206,2.355597334572745,97.64440266542724,97.77194460039028
50,0.95,0.25,tournament,uniform,False,-0.5911652884616698,0.1048374078616715,4.954068382561049,95.04593161743897,99.50110490014777
50,0.95,0.05,tournament,uniform,False,-0.5911836130559047,1.2127647988708103,56.88108624126955,43.11891375873045,100.38194900006056
50,0.75,0.025,tournament,uniform,False,-0.5912156482121744,0.64220566145469,30.115505272220755,69.88449472777924,98.11625039938372
200,0.75,0.25,tournament,uniform,False,-0.5912949300568859,0.0427628682161367,1.9717940103426643,98.02820598965734,382.3292252996471
50,0.95,0.05,tournament,uniform,False,-0.5913368880678463,0.0837396628742424,3.922663192319847,96.07733680768015,96.91911640018223
50,0.95,0.25,tournament,uniform,False,-0.5913469884798782,0.0852978761235679,3.9349132978860175,96.065086702114,99.7106396999443
50,0.95,0.025,tournament,uniform,False,-0.5913929509293748,0.650696644263768,30.25998802846897,69.74001197153103,98.73196539934725
50,0.95,0.05,tournament,uniform,False,-0.5916301719094991,1.247908112018299,57.93084687012849,42.06915312987151,105.0026000001235
50,0.75,0.025,tournament,uniform,False,-0.5916517017836791,0.7340452173036205,34.266765895991405,65.7332341040086,96.39397119998466
50,0.95,0.025,tournament,one_point,False,-0.5917150490518408,0.7111053425940997,33.25960468443634,66.74039531556366,99.5144217001507
50,0.75,0.05,tournament,one_point,False,-0.591726342511291,0.9942659886208892,47.01693860895787,52.98306139104213,99.73164340027142
200,0.75,0.025,tournament,arithmetic,False,-0.5917423590730387,0.2815928975475645,15.001083963097306,84.9989160369027,396.8670027998742
50,0.75,0.05,tournament,uniform,False,-0.5918061077478912,0.0378785307145522,1.7793130738912706,98.22068692610873,96.54806660022588
50,0.95,0.025,tournament,uniform,False,-0.5918337967462676,0.105202424296812,4.900915223346045,95.09908477665395,96.30955640040338
50,0.95,0.05,tournament,uniform,False,-0.5918455182332946,0.0936111808021906,4.3369554837874285,95.66304451621257,102.1017514000414
